"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Malik Monk","Sac","G","26.8","10","25","21.6","7.1","26","0.846","61","0.557","43","0.279","0.5","0.546","12.6","3","2.8","0.9","0.4","0.8","15.6","15.4","18.4","7.6","113.3","109.1"
"","Daniel Gafford","Dal","F-C","26.1","14","20.5","20.3","10.1","41","0.659","106","0.708","0","0","0.708","0.713","12.6","6.5","1.1","0.4","1.3","0.9","19.1","13.7","20.2","8.7","140.5","99.7"
"","Robert Williams III","Por","C-F","27.1","4","19.6","17.7","19.1","7","1","23","0.87","2","0.5","0.86","0.89","12.5","6.3","1.8","1.5","1.5","1.5","18.8","14.3","20.5","10.6","147.3","112.4"
"","Moritz Wagner","Orl","F-C","27.6","15","18.3","26.8","19.3","56","0.804","77","0.662","40","0.325","0.603","0.657","12.4","4.5","0.9","0.7","0.2","1.9","16.9","13.3","17.8","8.1","111.7","95.4"
"","Brandon Boston Jr.","Nor","G","23","11","29.1","18.6","13","22","0.909","71","0.493","42","0.357","0.509","0.55","12.3","4.5","4","1.4","0.3","1.5","16.8","16.3","20.8","8.3","115.1","114.5"
"","Luguentz Dort","Okc","G","25.6","14","28.5","15.2","7.7","27","0.815","42","0.524","78","0.449","0.621","0.648","12.2","3.9","1.6","1.2","0.7","0.7","16.1","13.9","17.8","5.9","127.4","100.7"
"","Josh Giddey","Chi","G","22.1","15","27.4","21.7","18.7","43","0.674","106","0.443","55","0.364","0.478","0.509","12.2","6.3","6.6","0.7","0.2","2.5","18.5","18.8","25.1","11.6","107.5","114"
"","D'Angelo Russell","Lal","G","28.7","13","28","20","13.2","23","0.913","65","0.492","73","0.329","0.493","0.53","12.1","2.1","4.8","1","0.1","1.6","14.2","16.8","18.9","7.1","109.6","114.3"
"","Dillon Brooks","Hou","G-F","28.8","15","30.9","16","6.3","20","0.85","86","0.43","76","0.395","0.506","0.53","12.1","3.5","1.2","0.7","0.1","0.7","15.5","13.3","16.7","4.8","113.2","102.1"
"","Zaccharie Risacher","Atl","F","19.6","15","26.4","21.5","10.7","50","0.68","94","0.489","72","0.25","0.44","0.479","12","3.8","1.4","1","0.8","1.3","15.8","13.4","17.2","6.1","98.4","112.7"
"","Keldon Johnson","San","F-G","25.1","14","26.5","19.8","7.1","35","0.771","92","0.543","51","0.255","0.486","0.524","11.9","5.6","1.5","1","0.3","0.8","17.4","13.4","18.9","7","109.9","107.7"
"","Santi Aldama","Mem","F-C","23.9","14","28.3","17.6","10.8","15","0.933","82","0.634","66","0.242","0.514","0.537","11.9","6.9","3.4","0.9","0.6","1.3","18.7","15.3","22.1","9.2","113.3","107.4"
"","Caris LeVert","Cle","G","30.2","13","24.4","17.8","11.9","28","0.75","55","0.6","48","0.458","0.641","0.663","11.8","2.9","4.5","1","0.5","1.1","14.7","16.2","19.2","8.8","134.7","109.7"
"","Jaylen Wells","Mem","F","21.2","14","26","18.3","9.1","28","0.75","74","0.486","65","0.369","0.518","0.545","11.8","3.1","1.6","0.3","0.3","1","14.9","13.4","16.5","6","109.9","109.1"
"","Brook Lopez","Mil","C","36.6","14","32.3","16.1","11.6","25","0.72","59","0.576","78","0.333","0.533","0.554","11.7","5.3","1.5","1.4","2.4","1.3","17","13.2","18.5","5.6","107.4","108.3"
"","Tim Hardaway Jr.","Det","G-F","32.7","13","28.6","15","6.7","27","0.889","33","0.485","78","0.41","0.577","0.618","11.7","1.6","2.1","0.4","0","0.6","13.3","13.8","15.4","4.8","126.2","113.4"
"","Tari Eason","Hou","F","23.5","15","23","19.2","9.8","22","0.682","94","0.617","44","0.341","0.583","0.596","11.7","6.2","1.1","1.9","1.2","1","17.9","12.9","19.1","7.5","119.9","94.1"
"","Corey Kispert","Was","F","25.7","13","29.7","16.3","8.4","19","0.842","49","0.51","82","0.341","0.511","0.538","11.5","3.2","1.6","0.7","0.1","0.9","14.8","13.2","16.4","5.2","105.5","122.7"
"","Scotty Pippen Jr.","Mem","G","24","14","25.7","19.4","20.2","34","0.824","83","0.494","43","0.395","0.528","0.571","11.5","3.9","5.9","1.3","0.4","2.3","15.4","17.4","21.2","10","113.2","99.9"
"","Scoot Henderson","Por","G","20.8","14","25.9","23.4","23","36","0.806","105","0.457","42","0.286","0.449","0.494","11.5","2.9","5","1.1","0.1","3.1","14.4","16.5","19.4","8.5","96","109.6"
"","Amen Thompson","Hou","G-F","21.8","15","25.3","17","17.4","60","0.717","94","0.606","15","0.267","0.578","0.624","11.3","6.7","2.3","1","0.7","1.5","18","13.5","20.3","8.8","121.4","98.7"
"","Kevin Huerter","Sac","G-F","26.2","13","28.7","17.4","9.7","9","0.556","46","0.674","84","0.31","0.538","0.541","11.2","4","2.5","1.4","0.5","1.1","15.2","13.7","17.7","6.7","107.6","105.3"
"","Jabari Smith Jr.","Hou","F","21.5","15","28.1","16.2","6.6","35","0.857","74","0.527","68","0.294","0.486","0.534","11.2","6.7","0.8","0.4","0.5","0.7","17.9","12","18.7","5.6","116.9","102.4"
