"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Nikola Jovic","Mia","F","21.4","13","19.2","18","8.5","20","0.8","43","0.581","43","0.326","0.535","0.57","8.3","3.9","1.3","1","0.1","0.6","12.2","9.6","13.5","7.2","115.6","105.7"
"","Kevin Porter Jr.","Lac","G-F","24.5","15","17","28","21.8","24","0.583","88","0.477","34","0.235","0.443","0.46","8.1","3","2.7","0.6","0.3","2.3","11.1","10.8","13.8","9.5","87","107.1"
"","Sam Hauser","Bos","F","26.9","11","21.3","16.4","4.5","1","1","13","0.692","71","0.324","0.518","0.521","8","3.5","1.2","0.5","0.4","0.4","11.5","9.2","12.7","6.1","112.4","110.5"
"","Trayce Jackson-Davis","Gol","F","24.7","13","16.9","16.5","14.1","22","0.545","67","0.687","0","0","0.687","0.678","8","4.7","2.2","0.4","0.5","0.8","12.7","10.2","14.9","10.3","132.6","103.2"
"","Larry Nance Jr.","Atl","F-C","31.9","9","15.6","14","8.5","2","0.5","21","0.667","22","0.636","0.814","0.809","7.9","2.4","1.2","0.8","0.3","0.4","10.3","9.1","11.6","7.3","148.2","113.5"
"","Kris Dunn","Lac","G","30.7","15","22.2","13.9","13.4","8","0.375","41","0.707","49","0.388","0.639","0.631","7.9","3.7","3","1.1","0.2","0.9","11.5","10.9","14.5","8","124.9","100.5"
"","Goga Bitadze","Orl","C-F","25.3","11","20.7","14.4","21.3","13","0.692","50","0.78","5","0","0.709","0.716","7.9","6.8","1.6","0.5","1.4","1.4","14.7","9.5","16.4","8.5","128.7","96.5"
"","Kyle Filipowski","Uta","C","21","12","18.6","16.7","14.1","25","0.48","40","0.7","27","0.333","0.619","0.609","7.9","4.3","1.9","0.5","0.2","0.9","12.3","9.8","14.2","8.6","118.5","113.7"
"","Cameron Payne","Nyk","G","30.3","10","16.2","20.6","8.1","2","0","29","0.414","39","0.462","0.574","0.566","7.8","1.8","3.4","0.7","0.2","0.6","9.6","11.2","13","9","124.1","104.6"
"","Georges Niang","Cle","F","31.4","15","19.2","16.9","12.7","3","0.667","32","0.719","64","0.359","0.599","0.601","7.8","3.4","1","0.5","0.3","0.9","11.2","8.8","12.2","6.2","109.1","102.8"
"","Haywood Highsmith","Mia","F","27.9","11","24.9","11.2","10.6","11","0.636","30","0.667","29","0.448","0.669","0.674","7.8","2.9","0.8","1.4","0.5","0.6","10.7","8.6","11.5","4.2","125.3","108.7"
"","Brandin Podziemski","Gol","G","21.7","12","24.9","17","13.8","15","0.6","53","0.547","47","0.191","0.425","0.441","7.8","4.8","3.4","0.9","0.3","1.3","12.7","11.3","16.1","8.1","100.7","102.1"
"","Gary Trent Jr.","Mil","G","25.8","12","24.8","14.8","7.4","14","0.929","30","0.4","57","0.316","0.448","0.488","7.6","1.4","0.9","1","0","0.6","9","8.5","9.9","3.4","96.8","109"
"","Jalen Smith","Chi","F-C","24.7","13","14.4","21.2","10.3","20","0.75","35","0.514","43","0.372","0.538","0.57","7.6","5.1","0.7","0.5","0.5","0.7","12.7","8.3","13.4","8.3","113.5","104"
"","Mike Conley","Min","G","37.1","13","25","15.7","13.7","19","0.842","29","0.276","65","0.338","0.436","0.479","7.5","3.2","4.8","1.7","0.2","1.2","10.7","12.3","15.5","7.8","112.5","108"
"","Marcus Smart","Mem","G","30.7","7","20.2","20.6","21.7","19","0.842","22","0.409","28","0.214","0.36","0.446","7.4","2.6","3.7","1","0.9","2","10","11.1","13.7","8.2","96.1","102.9"
"","Kentavious Caldwell-Pope","Orl","G","31.8","15","30","11.9","9.6","21","1","37","0.541","66","0.242","0.427","0.486","7.3","2.3","2","1.3","0.5","0.7","9.6","9.3","11.6","4.3","103.5","103"
"","Andrew Nembhard","Ind","G-F","24.8","7","26.7","15.6","16","10","0.8","39","0.436","13","0.231","0.413","0.452","7.3","2","4.7","0.9","0","1.4","9.3","12","14","6.1","99.6","115.7"
"","Keon Ellis","Sac","G","24.9","14","21.6","13.1","17","19","0.842","21","0.619","47","0.426","0.632","0.668","7.3","2.2","0.8","1.2","0.9","1","9.5","8.1","10.3","4.3","119.8","106.8"
"","Noah Clowney","Bro","F-C","20.3","12","16.2","21.2","10.5","17","0.706","28","0.429","48","0.354","0.493","0.521","7.3","3.2","0.8","0.3","0.5","0.8","10.4","8.1","11.3","6.6","105.1","104.2"
"","A.J. Green","Mil","G","25.1","13","17.9","13.6","8.4","2","1","3","0.667","62","0.468","0.7","0.706","7.2","1.8","0.9","0.5","0","0.5","8.9","8.1","9.8","5.1","128.8","112.8"
"","Bogdan Bogdanovic","Atl","G","32.3","2","23.1","14.1","13","2","1","1","0","12","0.333","0.462","0.504","7","2.5","2.5","0","1","1","9.5","9.5","12","6.1","103.8","114.5"
"","Isaiah Jackson","Ind","F","22.9","5","16.8","17.8","17.7","14","0.5","23","0.609","0","0","0.609","0.6","7","5.6","1","0.6","1.6","1","12.6","8","13.6","8.1","118.7","100.8"
"","Luke Kennard","Mem","G","28.4","6","20.3","13.7","15.3","5","0.6","9","0.333","24","0.458","0.591","0.597","7","2.7","4","0.3","0.2","1","9.7","11","13.7","8.3","123.4","107.9"
"","Kevin Love","Mia","F-C","36.2","5","12.4","23.4","6","1","1","13","0.385","18","0.444","0.548","0.557","7","5.6","1","1.6","0","0.4","12.6","8","13.6","11","114.4","99.9"
"","Yves Missi","Nor","C","20.5","14","23.5","13","18.1","29","0.655","72","0.542","0","0","0.542","0.572","6.9","6.7","1.6","0.6","1.1","1.1","13.6","8.5","15.2","7.1","117.1","114.3"
"","Ryan Dunn","Pho","F","21.9","14","18.6","17.1","8.2","6","0.167","31","0.613","59","0.322","0.528","0.518","6.9","2.6","0.6","0.5","0.5","0.6","9.5","7.4","10.1","4.7","100.1","105.5"
"","Sam Merrill","Cle","G","28.5","12","19.7","14","8.2","6","1","7","0.714","60","0.367","0.567","0.589","6.8","1.7","1.6","0.7","0.1","0.5","8.5","8.4","10.1","5.4","117.7","105.7"
"","Herbert Jones","Nor","F","26.1","4","28.3","11.6","16.5","2","0.5","14","0.714","11","0.182","0.52","0.522","6.8","2.5","1","1.8","0.3","1.3","9.3","7.8","10.3","3.6","97.7","113.6"
"","Jonathan Isaac","Orl","F","27.1","12","16.1","16.3","7.7","18","0.611","30","0.7","30","0.3","0.575","0.589","6.7","4.7","0.3","0.8","1.1","0.4","11.3","7","11.7","5.3","122","97.5"
"","Zach Collins","San","F-C","27","14","14.9","18.4","17.6","22","0.955","40","0.525","25","0.4","0.554","0.623","6.6","3.5","2.1","0.6","0.5","1","10.1","8.7","12.2","9.8","124.2","97.8"
"","Jeremiah Robinson-Earl","Nor","F","24","14","19.4","14.2","13","15","1","43","0.512","30","0.367","0.527","0.578","6.6","4.3","0.9","0.5","0.1","0.8","10.9","7.5","11.8","6.1","120.1","115.5"
"","David Roddy","Atl","F","23.6","11","17.7","13.4","22.3","13","0.846","23","0.696","22","0.455","0.689","0.72","6.6","3.5","1.7","0.5","0.2","1.2","10.2","8.4","11.9","7.7","120.2","113.9"
"","Tristan da Silva","Orl","F","23.5","11","24.5","13.4","6.3","10","0.8","36","0.444","38","0.289","0.439","0.466","6.6","3.9","2.1","0.3","0.3","0.5","10.5","8.7","12.6","6.2","106.5","103.9"
"","Neemias Queta","Bos","C","25.4","13","19","12.5","12.1","12","0.75","56","0.679","2","0","0.655","0.672","6.5","5.5","0.6","0.2","0.8","0.6","12","7.2","12.6","5.8","135.7","104.2"
"","Josh Green","Cha","G","24","11","24.1","10.1","11.6","9","0.667","24","0.417","29","0.517","0.613","0.623","6.5","2.1","1.5","0.7","0.4","0.6","8.5","8","10.1","4.5","125.3","108.4"
"","Isaiah Stewart","Det","F-C","23.5","16","22.1","11.7","19.5","22","0.864","60","0.617","10","0.3","0.593","0.64","6.4","6.9","1.9","0.5","1.3","1.1","13.3","8.3","15.2","7.9","127.4","98.5"
"","Cason Wallace","Okc","G","21","14","25.1","12.6","6.8","3","1","56","0.5","40","0.25","0.448","0.457","6.4","3.2","1.6","1.7","0.5","0.5","9.6","7.9","11.1","5.1","99.2","101.6"
"","Alec Burks","Mia","G","33.3","6","18.3","11.8","3.4","2","1","8","0.375","20","0.5","0.643","0.658","6.3","2.3","2","0.5","0.2","0.2","8.7","8.3","10.7","6.7","142.6","116.4"
"","Jaxson Hayes","Lal","C-F","24.5","10","17.5","11.9","14.9","19","0.789","34","0.706","0","0","0.706","0.744","6.3","4.6","0.9","0.3","0.9","0.6","10.9","7.2","11.8","6.8","146.5","103.3"
"","Simone Fontecchio","Det","F","28.9","14","19","14.7","12.1","21","0.81","22","0.455","50","0.34","0.493","0.542","6.3","3.3","0.9","0.2","0.1","0.7","9.6","7.1","10.4","5.6","108.4","109.2"
"","Kyle Lowry","Phi","G","38.7","13","24.2","11.5","14.8","19","0.789","15","0.467","48","0.354","0.516","0.561","6.2","2.2","3.4","1.2","0.4","0.8","8.4","9.5","11.8","5.9","119.2","110.5"
"","Trey Lyles","Sac","F","29","15","20.7","13.9","8.6","12","0.833","24","0.417","61","0.344","0.488","0.515","6.2","4.1","1","0.5","0.6","0.5","10.3","7.2","11.3","5.7","108.9","108.4"
"","Cam Whitmore","Hou","F","20.4","7","10.5","29","6.3","12","0.667","26","0.615","18","0.056","0.398","0.436","6.1","1.6","0.4","0.1","0.1","0.4","7.7","6.6","8.1","6","95.1","101.1"
"","James Wiseman","Ind","C","23.6","1","4.6","46.4","0","2","1","3","0.667","1","0","0.5","0.615","6","1","0","0","0","0","7","6","7","0","123.4","121.7"
"","Vince Williams Jr.","Mem","G","24.2","2","18.8","20.1","23.4","4","0.25","6","0.667","7","0.143","0.423","0.407","6","3","4.5","0","1","2","9","10.5","13.5","9.2","90.7","93.4"
"","Mo Bamba","Lac","C","26.5","2","11.3","21.5","9.7","3","0.667","7","0.714","2","0","0.556","0.581","6","5","0.5","1.5","0","0.5","11","6.5","11.5","8.7","118.6","84"
"","Terance Mann","Lac","G-F","28.1","15","21.5","13.3","8.6","15","0.733","53","0.472","32","0.281","0.453","0.48","5.9","3.9","1.9","0.6","0.3","0.5","9.8","7.7","11.7","6.6","110.6","103.7"
"","Isaac Okoro","Cle","F-G","23.8","15","20.2","10.7","5.8","13","0.615","29","0.552","36","0.444","0.615","0.622","5.9","2.1","1.5","0.8","0.3","0.3","7.9","7.4","9.5","5.2","133.6","105.9"
"","Kevon Looney","Gol","F","28.8","11","15.8","16.7","13.3","23","0.609","52","0.481","0","0","0.481","0.515","5.8","8.4","1.7","0.9","0.4","0.7","14.2","7.5","15.9","11","127.1","88.3"
"","Jarace Walker","Ind","F","21.2","14","16.1","17.9","23.8","10","0.6","33","0.455","34","0.441","0.56","0.567","5.8","3.5","1.5","1.3","0.4","1.5","9.3","7.3","10.8","7.8","95.9","108.5"
"","Ben Sheppard","Ind","G","23.3","13","20.9","11.4","7","0","0","19","0.474","47","0.404","0.568","0.568","5.8","2.2","1.3","0.4","0.3","0.4","8","7.1","9.3","4.9","114.4","111.1"
"","Eric Gordon","Phi","G","35.9","11","18.8","16.2","19","18","0.778","24","0.458","31","0.29","0.445","0.501","5.7","1","1.4","0.3","0.3","1.2","6.7","7.1","8.1","4.3","93.7","116.8"
"","Donovan Clingan","Por","C","20.7","14","16.2","14.2","18.2","18","0.833","53","0.585","5","0.2","0.56","0.607","5.7","5.6","0.2","0.4","2.1","0.9","11.4","5.9","11.6","4.6","116.9","98.9"
"","Ronald Holland II","Det","F","19.4","16","15.5","18","10.4","19","0.842","51","0.608","35","0.114","0.43","0.477","5.6","3.1","0.5","0.6","0.1","0.6","8.8","6.1","9.3","5.3","97.8","104.3"
"","Jamison Battle","Tor","F","23.5","14","13.9","14.7","6","8","0.75","16","0.5","46","0.413","0.589","0.603","5.6","2.2","0.9","0","0.1","0.3","7.9","6.5","8.7","6.4","126.3","114.3"
"","Kyle Anderson","Gol","F-G","31.2","12","16.6","15.8","5.7","14","0.714","37","0.432","29","0.276","0.424","0.457","5.5","3.6","2.7","1","0.8","0.3","9.1","8.2","11.8","9.1","116.9","103.7"
"","Brandon Clarke","Mem","F","28.2","13","15.5","14","6.1","11","0.727","49","0.612","12","0.083","0.516","0.539","5.5","3.5","0.5","0.9","0.1","0.3","9","6","9.5","5.5","114.5","101.4"
"","Dean Wade","Cle","F-C","28","13","22","10.7","6.1","12","0.417","10","0.6","51","0.353","0.541","0.536","5.5","4.2","1.5","1","0.4","0.3","9.6","7","11.2","5.9","117.6","105.3"
"","Javonte Green","Nor","G","31.3","14","23.5","10.2","7.1","20","0.85","37","0.405","28","0.357","0.462","0.522","5.5","3.4","0.9","1.2","0.5","0.4","8.9","6.4","9.7","4.4","116.3","116.3"
"","Lindy Waters III","Gol","F","27.3","11","14.7","12.2","2.1","2","1","15","0.6","31","0.419","0.62","0.629","5.4","2","1.4","0.5","0.2","0.1","7.4","6.7","8.7","6.7","139.8","106.9"
"","Mason Plumlee","Pho","F-C","34.7","14","18.6","13.1","21.8","30","0.533","50","0.58","0","0","0.58","0.585","5.3","6.3","1.9","0.4","0.4","1","11.6","7.2","13.5","8.6","119.2","102.4"
"","Ben Simmons","Bro","G-F","28.3","10","24.3","13.9","39","4","0.75","45","0.556","0","0","0.556","0.567","5.3","5.8","7","0.8","0.5","2.9","11.1","12.3","18.1","9.9","107.6","104"
"","Seth Curry","Cha","G","34.2","12","15.8","13.6","6.7","5","0.6","24","0.417","31","0.419","0.536","0.542","5.2","1.8","0.6","0.5","0.1","0.3","7","5.8","7.6","4.5","114.8","111.1"
"","Vit Krejci","Atl","G","24.4","5","15.5","14.3","20.6","7","0.571","9","0.556","10","0.4","0.579","0.589","5.2","1.4","1.4","0.8","0.4","1","6.6","6.6","8","5.6","106","105.7"
"","Johnny Juzang","Uta","G","23.7","9","14.8","14","12.4","10","1","10","0.5","25","0.36","0.529","0.596","5.2","1.2","0.8","0.6","0.2","0.6","6.4","6","7.2","4.6","117.6","111.7"
"","Jaden Hardy","Dal","G","22.4","13","14","19","20.7","8","1","28","0.571","33","0.273","0.484","0.519","5.2","1.4","1.2","0.5","0.1","1.2","6.5","6.4","7.8","5.9","94.4","107.8"
"","Ajay Mitchell","Okc","G","22.4","14","16","14.3","14","9","0.778","46","0.522","15","0.4","0.541","0.562","5.2","1.7","2","0.9","0.1","0.7","6.9","7.2","8.9","6.5","112.1","99.7"
"","Quentin Grimes","Dal","G","24.5","13","16.7","12.8","13.5","13","0.769","19","0.526","32","0.375","0.549","0.582","5.1","2.8","1.1","0.5","0.1","0.6","7.8","6.2","8.9","6","114.5","106.4"
"","Brice Sensabaugh","Uta","F","21.1","9","12.5","18.2","24.2","9","0.889","12","0.583","22","0.364","0.559","0.606","5.1","1.9","0.4","0.3","0","1.2","7","5.6","7.4","5","100.4","121.5"
"","Monte Morris","Pho","G","29.4","11","11.5","18.1","8.6","14","0.857","22","0.5","20","0.35","0.512","0.571","5","1.2","1.4","0.5","0.3","0.4","6.2","6.4","7.5","7.1","120.1","117.7"
"","Jordan Miller","Lac","G","24.8","4","7.5","29.6","19.5","13","0.846","7","0.429","5","0.2","0.375","0.564","5","1.3","0.5","0","0","0.8","6.3","5.5","6.8","7.9","112.9","115.3"
"","Kobe Bufkin","Atl","G","21.2","1","12.3","26.2","0","2","1","2","0","5","0.2","0.214","0.317","5","1","0","0","0","0","6","5","6","0","74.3","98.4"
"","Pat Connaughton","Mil","G","31.9","13","17.6","14.7","13.8","10","0.8","22","0.455","40","0.3","0.452","0.482","4.9","2.8","1.8","0.2","0.2","0.8","7.8","6.8","9.6","6.6","101.3","111.4"
"","Sandro Mamukelashvili","San","F-C","25.5","11","9.1","19.2","21.7","7","1","9","0.778","23","0.478","0.734","0.77","4.9","2.8","0.4","0.1","0.5","0.8","7.7","5.3","8.1","7.8","119.6","106.6"
"","Pelle Larsson","Mia","G","23.7","8","13.1","14.3","13.2","10","0.6","14","0.643","12","0.417","0.635","0.641","4.9","1","1.4","0.5","0","0.5","5.9","6.3","7.3","5.8","124.8","106.3"
"","Jamal Shead","Tor","G","22.3","15","15.7","19.1","23","12","0.75","54","0.463","26","0.192","0.406","0.434","4.9","0.9","3.3","0.3","0.1","1.6","5.8","8.3","9.1","6.2","90.1","112.7"
"","Talen Horton-Tucker","Chi","G","24","10","9.5","20.5","7.4","16","0.688","23","0.478","14","0.357","0.5","0.545","4.8","2.1","1.4","0","0.1","0.3","6.9","6.2","8.3","10.2","121.2","114.8"
"","Jared Butler","Was","G","24.2","10","8.2","22.8","8","19","0.684","29","0.552","5","0.2","0.515","0.567","4.8","0.7","2.4","0.6","0.2","0.3","5.5","7.2","7.9","9.8","128.3","116.5"
"","Keon Johnson","Bro","G","22.7","13","13","19.3","14.2","7","0.857","22","0.455","38","0.316","0.467","0.491","4.8","2.8","1","0.3","0.3","0.8","7.6","5.8","8.6","7.3","97.1","107.5"
"","Oso Ighodaro","Pho","F","22.4","10","16.2","11.5","18.3","10","0.8","31","0.645","0","0","0.645","0.678","4.8","4.1","0.7","0.4","0.4","0.7","8.9","5.5","9.6","5.9","125.7","104"
"","Lonzo Ball","Chi","G","27.1","3","15.7","14.9","17.6","0","0","2","0.5","12","0.333","0.5","0.5","4.7","2.7","3.7","0","0.3","1","7.3","8.3","11","9.2","107.4","113.1"
"","KJ Martin","Phi","F","23.9","10","15.8","9.5","3.4","12","0.75","24","0.667","4","0.5","0.679","0.706","4.7","2.3","0.5","0.3","0.6","0.1","7","5.2","7.5","4.4","145.2","103.9"
"","Keaton Wallace","Atl","G","25.7","12","16.2","14.5","17.8","4","1","29","0.483","26","0.308","0.473","0.493","4.7","1.5","1.8","0.8","0.5","1","6.2","6.5","8","5.8","95.9","114.7"
"","Quenton Jackson","Ind","G","26.2","6","12","16.3","15.1","2","1","15","0.667","7","0.286","0.591","0.612","4.7","1.3","1.5","0.5","0.3","0.7","6","6.2","7.5","7","117.5","110"
"","Taylor Hendricks","Uta","F","21","3","24.8","12.3","9.8","4","0.75","6","0.167","12","0.25","0.306","0.354","4.7","5","0.7","1.7","1.3","0.7","9.7","5.3","10.3","4.1","87.1","109.3"
"","Cam Reddish","Lal","F-G","25.2","7","21","7.8","12.9","8","0.5","11","0.636","9","0.556","0.725","0.702","4.7","3","0.7","1","0.3","0.4","7.7","5.4","8.4","4.1","130.3","110.6"
"","Jonathan Mogbo","Tor","F","23.1","15","15.5","13.4","19","29","0.69","44","0.523","7","0.143","0.48","0.541","4.6","4","1.5","0.9","0.5","0.8","8.6","6.1","10.1","7.8","117.6","107.9"
"","Jamal Cain","Nor","F","25.7","10","13.4","15.7","15.5","10","0.6","18","0.5","20","0.35","0.513","0.531","4.5","2.9","0.6","0.1","0.5","0.7","7.4","5.1","8","5.9","105.7","110.4"
"","Kenrich Williams","Okc","G-F","30","4","13.3","14.4","11.5","2","1","7","0.714","8","0.25","0.533","0.567","4.5","2.8","1","0.8","1","0.5","7.3","5.5","8.3","7","110.5","88"
"","Gary Payton II","Gol","G","32","13","11.8","13.9","16.6","8","0.625","30","0.767","10","0.2","0.65","0.655","4.4","1.9","1.2","0.7","0.3","0.6","6.3","5.5","7.5","7.3","124.9","100.7"
"","Jock Landale","Hou","C","29.1","10","11.3","17.1","11.8","12","0.583","32","0.438","5","0.6","0.5","0.52","4.4","3.4","0.9","0.2","0.4","0.5","7.8","5.3","8.7","8.4","114.4","99.8"
"","Drew Eubanks","Uta","F-C","27.8","10","13.8","12.7","19.3","13","0.692","26","0.615","3","0.333","0.603","0.634","4.4","3.7","1","0.3","0.6","0.7","8.1","5.4","9.1","7.3","123","113.8"
"","Luke Kornet","Bos","C-F","29.3","13","16.7","8.9","13.4","17","0.941","32","0.625","0","0","0.625","0.709","4.3","3.9","1.7","0.5","0.7","0.4","8.2","6","9.9","7.3","159.4","105.5"
"","Aaron Holiday","Hou","G","28.1","8","9.1","15.7","11.9","7","0.714","6","0.667","16","0.438","0.659","0.678","4.3","0.8","1.5","0.1","0.1","0.4","5","5.8","6.5","7.6","137.4","107.5"
"","Max Christie","Lal","G","21.8","12","15.9","13.1","11.4","14","0.929","23","0.435","23","0.261","0.413","0.489","4.3","2","1","0.8","0.3","0.5","6.3","5.3","7.3","5.2","107","111.9"
"","Kris Murray","Por","F","24.2","13","13.4","14.6","12.7","17","0.353","26","0.5","22","0.364","0.521","0.505","4.3","2.6","0.8","0.5","0.2","0.5","6.9","5.1","7.7","6.2","105.8","113"
"","Julian Phillips","Chi","F","21","15","13.9","14.1","12.5","16","0.563","23","0.565","33","0.303","0.5","0.516","4.3","2.1","0.5","0.8","0.1","0.5","6.4","4.8","6.9","4.8","101.4","110.2"
"","Bones Hyland","Lac","G","24.2","4","5.3","33.9","6.5","4","1","7","0.286","7","0.429","0.464","0.539","4.3","0.8","0","0.5","0.5","0.3","5","4.3","5","0","107.5","101.4"
"","Isaiah Collier","Uta","G","20.1","6","18","13.5","34.1","6","0.5","12","0.833","9","0.111","0.548","0.55","4.3","2.3","2.7","1","0.3","1.8","6.7","7","9.3","6.6","92.5","113"
"","Alex Caruso","Okc","G","30.7","11","19.6","12.9","11.2","7","0.714","23","0.435","32","0.219","0.373","0.396","4.2","2.9","2.3","1.7","0.6","0.6","7.1","6.5","9.4","6.2","96.6","92.4"
"","Blake Wesley","San","G","21.7","13","11.8","19.5","21.8","11","0.818","37","0.541","13","0.154","0.46","0.501","4.2","0.6","1.7","0.4","0.1","1.1","4.8","5.9","6.5","5.5","96.1","113.4"
"","Jett Howard","Orl","G","21.2","14","8.7","19.8","9","2","1","8","0.375","42","0.405","0.57","0.58","4.2","0.9","0.2","0.1","0.4","0.4","5.1","4.4","5.3","4.2","104.2","101.5"
"","Spencer Dinwiddie","Dal","G","31.6","13","16.9","12.2","12.2","12","0.75","18","0.389","32","0.313","0.44","0.479","4.1","1.2","1.6","0.4","0.2","0.5","5.2","5.7","6.8","4.7","103.7","112.8"
"","Thomas Bryant","Mia","C-F","27.3","7","12.7","11.9","4.5","5","1","10","0.6","11","0.364","0.571","0.625","4.1","3.6","0.6","0.1","0.7","0.1","7.7","4.7","8.3","6.5","136.4","106.9"
"","Paul Reed","Det","F","25.4","7","9.5","18","22.8","5","0.8","18","0.611","2","0.5","0.625","0.653","4.1","1.6","0.4","0.6","0.6","0.9","5.7","4.6","6.1","5.8","107","89"
"","Marcus Sasser","Det","G","24.2","8","10.9","15.1","9.9","2","1","16","0.688","11","0.273","0.574","0.592","4.1","0.9","0.8","0.4","0.3","0.4","5","4.9","5.8","5.3","114.7","113.4"
"","Dalen Terry","Chi","F","22.4","15","13","14.8","24.5","21","0.714","32","0.531","14","0.286","0.5","0.552","4.1","1.9","0.9","0.6","0.4","1","5.9","5","6.9","5.9","102.7","110.3"
"","Moussa Diabate","Cha","F","22.8","13","16.1","10.4","22.8","8","0.375","37","0.676","0","0","0.676","0.654","4.1","7.3","0.5","0.4","0.9","0.8","11.4","4.6","11.9","6.1","123.7","108.1"
"","Vasilije Micic","Cha","G","30.8","5","14.6","20","18.1","4","0.5","15","0.2","12","0.333","0.333","0.348","4","2.8","1.2","0.4","0","1.2","6.8","5.2","8","6.5","77.9","112.9"
"","Ousmane Dieng","Okc","F","21.5","14","12.3","16.1","4.9","9","0.778","23","0.478","35","0.257","0.422","0.452","4","2.9","0.9","0.6","0.3","0.2","6.9","4.9","7.8","7.1","104.1","96.2"
"","Josh Richardson","Mia","G","31.2","8","18.7","13.9","17.2","4","1","16","0.313","22","0.273","0.368","0.402","4","1.5","1.5","1","0.1","1","5.5","5.5","7","4.4","87.7","106.1"
"","DeAndre Jordan","Den","C","36.3","3","11.5","20.8","31.3","2","0","11","0.545","0","0","0.545","0.505","4","5","0.7","0","0.3","1.7","9","4.7","9.7","8.4","89.5","104.4"
"","TyTy Washington Jr.","Pho","G","23","2","11.5","11.5","0","0","0","3","0.333","3","0.667","0.667","0.667","4","0.5","1","0.5","0","0","4.5","5","5.5","4.4","141.2","120.5"
"","Malcolm Brogdon","Was","G","31.9","2","20.5","12.5","17.7","3","0.667","6","0.5","3","0","0.333","0.388","4","1.5","0.5","0","0","1","5.5","4.5","6","2.8","75.4","129"
"","Trendon Watford","Bro","G-F","24","1","13.4","16.2","22.5","2","1","2","0.5","1","0","0.333","0.515","4","3","3","0","0","1","7","7","10","9.9","110.6","112.3"
"","Cole Anthony","Orl","G","24.5","13","10.1","23.7","23.7","20","0.65","25","0.4","23","0.261","0.396","0.449","3.9","2.2","1.8","0.6","0.1","1.2","6.1","5.7","7.8","9.9","88.9","92.9"
"","Reggie Jackson","Phi","G","34.6","5","11.3","17.9","13","0","0","8","0.25","12","0.417","0.475","0.475","3.8","1.2","2.2","0.4","0","0.6","5","6","7.2","7.6","103","109.1"
"","Doug McDermott","Sac","F","32.9","11","11.1","15.9","2.4","5","0.6","7","0.429","34","0.324","0.476","0.486","3.8","0.9","0.3","0.2","0.1","0.1","4.7","4.1","5","3.6","100.3","108.5"
"","Wendell Moore Jr.","Det","G","23.2","6","14.2","10.7","14.8","3","0.667","13","0.692","4","0.25","0.618","0.628","3.8","2.7","0.8","0.7","0.2","0.5","6.5","4.7","7.3","5.7","119.8","107.8"
"","Rayan Rupert","Por","G-F","20.5","13","10.8","14.2","15.1","6","0.667","21","0.571","18","0.389","0.577","0.588","3.8","1.8","0.2","0.5","0.1","0.5","5.5","4","5.8","4.1","109.6","111.7"
"","Cody Williams","Uta","F","20","13","20.6","12","13.8","10","0.6","28","0.393","34","0.206","0.347","0.369","3.8","2.5","1.4","0.5","0.3","0.8","6.2","5.2","7.6","4.6","85.2","118.1"
"","Taj Gibson","Cha","F","39.4","6","12.6","13.5","21.5","3","0.667","16","0.563","2","0.5","0.583","0.595","3.8","4.2","0.2","0.2","0.5","0.8","8","4","8.2","4.7","109.1","100.1"
"","Damion Lee","Pho","G-F","32.1","3","11.3","16.7","17.5","4","1","4","0.5","5","0.2","0.389","0.511","3.7","1.7","1.3","0.3","0","0.7","5.3","5","6.7","7.1","103.2","115.1"
"","Reed Sheppard","Hou","G","20.4","15","11.9","15.3","14.9","0","0","26","0.423","31","0.355","0.482","0.482","3.7","1.3","1.5","0.3","0.3","0.7","4.9","5.1","6.4","6.5","101.9","104.3"
"","Tyler Kolek","Nyk","G","23.6","9","7.8","18.8","21.1","4","1","9","0.444","13","0.538","0.659","0.694","3.7","0.8","0.7","0.3","0","0.7","4.4","4.3","5.1","6.5","116.1","111"
"","Bol Bol","Pho","C-F","25","3","5.6","27.9","12.1","6","0.667","3","0.667","4","0.25","0.5","0.571","3.7","1","0.3","0","0","0.3","4.7","4","5","7.4","113.3","114.4"
"","Nicolas Batum","Lac","G-F","35.9","15","16.8","10.4","13.7","8","0.75","12","0.5","38","0.316","0.48","0.504","3.6","2.5","1.5","0.4","0.7","0.5","6.1","5.1","7.6","5.7","109.7","107.7"
"","Patty Mills","Uta","G","36.3","9","15.3","12.3","20.3","3","1","7","0.571","24","0.292","0.468","0.495","3.6","0.9","1.4","0.7","0.2","0.9","4.4","5","5.9","4.3","96","118.6"
"","Daniel Theis","Nor","F-C","32.6","11","14.3","12.9","18","8","0.75","26","0.538","10","0.2","0.472","0.506","3.6","3.5","1.4","0.3","0.6","0.7","7.2","5","8.5","7.3","104.9","110.3"
"","Andre Jackson Jr.","Mil","G","23","13","17.5","11.5","32","8","0.5","16","0.5","22","0.409","0.566","0.566","3.6","2.2","1.5","0.8","0.3","1.4","5.8","5.1","7.3","5.2","91.2","101.3"
