RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,3P%_per_MIN,3P_per_MIN
,Trae Young,Atl,G,26.2,14,36.4,28.5,21.4,96,0.896,123,0.415,123,0.35,0.47,0.55,22.6,4.0,11.6,1.1,0.1,4.8,26.6,34.3,38.3,11.2,111.0,117.2,0.009615384615384616,0.08447802197802198
,Lauri Markkanen,Uta,F-C,27.5,10,30.8,21.7,12.6,54,0.833,61,0.41,57,0.456,0.542,0.61,17.3,6.4,2.4,0.6,0.0,1.7,23.7,19.7,26.1,8.3,122.0,117.8,0.014805194805194806,0.08438961038961039
,Julian Champagnie,San,F,23.4,14,28.2,15.9,10.8,13,0.846,35,0.6,89,0.371,0.569,0.586,10.9,5.3,1.6,0.6,0.5,1.1,16.1,12.4,17.7,6.4,112.4,110.9,0.013156028368794327,0.08363475177304965
,Dennis Schroder,Bro,G,31.2,14,34.2,22.6,13.4,45,0.867,99,0.475,94,0.426,0.554,0.594,18.1,2.9,6.1,1.3,0.0,2.1,20.9,24.1,27.0,8.0,117.6,114.3,0.012456140350877191,0.08363408521303256
,Jalen Green,Hou,G,22.8,15,32.7,27.1,12.9,56,0.875,137,0.453,125,0.328,0.471,0.516,19.7,5.0,2.7,0.8,0.3,2.6,24.7,22.5,27.5,7.9,102.6,104.3,0.010030581039755352,0.08358817533129459
,Cam Thomas,Bro,G,23.1,14,34.2,30.5,13.5,89,0.865,147,0.503,102,0.392,0.538,0.599,24.6,3.4,3.1,0.9,0.1,2.8,28.0,27.7,31.1,7.5,110.9,116.4,0.011461988304093567,0.08350877192982456
,Kyrie Irving,Dal,G,32.7,13,35.1,25.3,10.0,47,0.851,151,0.556,73,0.521,0.629,0.658,24.8,4.6,5.1,1.4,0.2,1.9,29.4,29.8,34.5,9.5,129.9,112.2,0.014843304843304842,0.08335086565855797
,Austin Reaves,Lal,G,26.5,13,34.8,21.3,12.8,47,0.787,75,0.573,102,0.363,0.556,0.592,18.0,4.0,5.5,1.2,0.3,2.0,22.0,23.5,27.5,8.4,118.5,112.5,0.010431034482758622,0.08184350132625995
,Damian Lillard,Mil,G,34.3,11,35.8,29.2,12.9,84,0.905,98,0.541,98,0.327,0.515,0.597,25.3,4.5,6.9,0.9,0.2,2.6,29.8,32.2,36.7,10.3,120.1,113.2,0.009134078212290503,0.08137633316404266
,Michael Porter Jr.,Den,F,26.4,12,36.2,19.0,7.1,22,0.773,84,0.548,87,0.402,0.576,0.592,17.8,6.6,2.8,0.9,0.4,1.1,24.4,20.6,27.2,7.6,119.6,111.7,0.011104972375690608,0.0805110497237569
,Desmond Bane,Mem,G,26.4,7,26.9,25.3,12.6,16,0.875,54,0.593,43,0.349,0.562,0.591,17.6,6.3,3.3,1.0,0.6,2.0,23.9,20.9,27.1,10.6,113.2,101.6,0.012973977695167286,0.07969729155602762
,Karl-Anthony Towns,Nyk,C-F,29.0,13,32.9,29.1,9.2,72,0.847,160,0.556,66,0.515,0.619,0.662,26.2,12.4,3.0,0.8,0.8,1.8,38.6,29.2,41.6,12.1,131.6,104.3,0.015653495440729484,0.0794715922375497
,Tyrese Maxey,Phi,G,24.0,7,39.7,31.5,7.8,45,0.822,88,0.511,77,0.286,0.473,0.522,27.6,3.0,3.9,1.4,0.6,2.0,30.6,31.4,34.4,6.9,105.1,111.8,0.007204030226700251,0.07924433249370276
,Jordan Hawkins,Nor,G,22.6,8,30.3,22.7,11.2,29,0.931,51,0.451,52,0.365,0.5,0.562,16.3,4.5,1.4,0.1,0.4,1.6,20.8,17.6,22.1,6.2,110.9,118.2,0.012046204620462046,0.0783003300330033
,Dorian Finney-Smith,Bro,F,31.5,12,29.2,15.9,11.8,16,0.625,36,0.556,68,0.397,0.582,0.59,10.9,4.8,1.8,1.0,0.7,1.2,15.8,12.7,17.5,6.2,116.9,108.7,0.013595890410958905,0.0770433789954338
,Keyonte George,Uta,G,21.0,12,31.9,23.6,17.7,42,0.786,68,0.412,94,0.309,0.441,0.488,14.7,2.9,5.5,0.6,0.1,2.9,17.6,20.2,23.1,7.7,100.3,120.2,0.00968652037617555,0.07587774294670847
,Miles McBride,Nyk,G,24.2,11,26.4,17.8,10.7,10,0.8,42,0.524,58,0.379,0.55,0.565,10.7,2.3,2.5,1.1,0.3,1.1,13.0,13.3,15.5,6.0,112.1,113.3,0.014356060606060607,0.07569559228650138
,Brandon Ingram,Nor,F,27.2,14,33.6,31.6,15.9,39,0.872,183,0.525,96,0.365,0.532,0.559,23.6,6.0,5.4,0.9,0.6,3.8,29.6,29.1,35.1,10.9,107.2,112.9,0.010863095238095238,0.07448979591836734
,Bradley Beal,Pho,G,31.4,9,34.8,20.5,8.9,26,0.808,62,0.565,60,0.383,0.57,0.6,17.8,4.0,3.7,1.4,0.9,1.3,21.8,21.4,25.4,7.4,119.1,110.5,0.011005747126436783,0.07337164750957854
,Jordan Clarkson,Uta,G,32.4,11,26.1,27.8,12.8,41,0.78,75,0.52,75,0.28,0.47,0.515,15.7,3.8,3.8,1.0,0.1,2.0,19.5,19.5,23.4,9.3,106.4,117.4,0.010727969348659005,0.07314524555903867
,Anfernee Simons,Por,G,25.4,12,29.7,25.5,14.0,36,0.917,91,0.462,87,0.299,0.455,0.503,16.3,2.0,4.3,0.8,0.1,2.4,18.3,20.5,22.5,7.0,102.2,117.4,0.010067340067340067,0.07298821548821549
,Gradey Dick,Tor,G-F,21.0,15,33.0,22.9,10.5,65,0.908,117,0.487,104,0.346,0.502,0.563,18.7,2.8,2.4,0.9,0.3,1.7,21.5,21.1,23.9,6.1,113.2,118.3,0.010484848484848484,0.07269494949494948
,Corey Kispert,Was,F,25.7,13,29.7,16.3,8.4,19,0.842,49,0.51,82,0.341,0.511,0.538,11.5,3.2,1.6,0.7,0.1,0.9,14.8,13.2,16.4,5.2,105.5,122.7,0.011481481481481483,0.07242165242165244
,Myles Turner,Ind,C-F,28.7,12,32.9,23.1,15.8,45,0.689,93,0.516,66,0.424,0.566,0.59,17.6,6.8,1.4,0.9,1.8,2.5,24.4,19.0,25.8,6.7,103.0,110.0,0.012887537993920973,0.07088145896656535
,Devin Booker,Pho,G,28.1,15,36.7,27.3,10.8,97,0.887,151,0.497,114,0.342,0.504,0.574,23.5,3.7,6.5,1.1,0.5,2.1,27.3,30.1,33.8,9.0,120.3,114.2,0.009318801089918257,0.07082288828337875
,James Harden,Lac,G,35.2,15,34.9,28.6,21.6,100,0.86,120,0.433,119,0.311,0.45,0.532,20.1,7.7,9.0,1.6,1.0,4.4,27.8,29.1,36.8,12.8,106.9,104.8,0.008911174785100286,0.07069531996179561
,Paul George,Phi,F,34.6,7,30.6,28.2,19.1,27,0.815,49,0.51,52,0.288,0.47,0.518,16.7,5.6,5.1,2.4,0.3,3.4,22.3,21.9,27.4,10.2,99.0,105.4,0.009411764705882352,0.06991596638655462
,Kevin Huerter,Sac,G-F,26.2,13,28.7,17.4,9.7,9,0.556,46,0.674,84,0.31,0.538,0.541,11.2,4.0,2.5,1.4,0.5,1.1,15.2,13.7,17.7,6.7,107.6,105.3,0.010801393728222997,0.06979362101313322
,Jerami Grant,Por,F,30.7,14,33.0,22.2,8.9,59,0.797,111,0.423,94,0.34,0.463,0.513,16.9,3.4,2.1,0.9,1.2,1.4,20.3,19.1,22.4,6.0,106.4,114.2,0.010303030303030303,0.06917748917748918
